,validation_loss,elbo_validation,reconstruction_loss_validation,kl_local_validation,kl_global_validation,disentangling_loss_validation,train_loss,rec_loss,kld_loss,elbo_train,reconstruction_loss_train,kl_local_train,kl_global_train,disentangling_loss_train,r2_train,r2_ood
"32_0.5_0.1_[1024, 1024]",71.6343592861331,124.14727783203125,68.40107727050781,55.74620056152344,0.0,0.0,71.95083465342724,68.60287300339395,57.723480224609375,126.32635498046875,68.60287475585938,57.723480224609375,0.0,0.0,0.9914213793679307,0.9908980017750019
"32_0.5_0.1_[1024, 1024, 1024]",71.59784338908814,114.3857192993164,68.21590423583984,46.16981506347656,0.0,0.0,72.38169325862194,68.83576460244781,48.40858459472656,117.24434661865234,68.83576202392578,48.40858459472656,0.0,0.0,0.9935948416115546,0.9922173992262435
"32_0.5_0.1_[2048, 2048]",70.36303416940693,128.58644104003906,67.34699249267578,61.23945236206055,0.0,0.0,70.86474902308464,67.59696885824707,66.35086059570312,133.94784545898438,67.59698486328125,66.35086059570312,0.0,0.0,0.9939703521256862,0.9928552017950024
"32_0.5_0.1_[2048, 2048, 2048]",70.72086856791682,121.45407104492188,67.62574005126953,53.82833480834961,0.0,0.0,70.56535725601937,67.3165783676278,56.50050735473633,123.81707763671875,67.31657409667969,56.50050735473633,0.0,0.0,0.9936755568161021,0.9923655318185848
"32_0.5_0.1_[4096, 4096]",70.78118856288489,125.41552734375,67.24747467041016,58.16804885864258,0.0,0.0,68.91735369952747,65.07284839594836,63.28402328491211,128.35687255859375,65.07284545898438,63.28402328491211,0.0,0.0,0.994322498290031,0.9931421857752253
"32_0.5_1.0_[1024, 1024]",80.49624156868512,102.39654541015625,73.76869201660156,28.62785530090332,0.0,0.0,82.65861704101101,75.60362795553966,30.021230697631836,105.6248550415039,75.60362243652344,30.021230697631836,0.0,0.0,0.9833265860155295,0.9822330465242664
"32_0.5_1.0_[1024, 1024, 1024]",80.8772189892193,93.36200714111328,75.4626693725586,17.89933967590332,0.0,0.0,82.61316324789635,76.75362250454299,19.370380401611328,96.12400817871094,76.75362396240234,19.370380401611328,0.0,0.0,0.987254908467025,0.9851198365230912
"32_0.5_1.0_[2048, 2048]",80.28915150025475,101.2312240600586,72.83519744873047,28.396024703979492,0.0,0.0,81.44782505137135,73.55298898294735,30.07556915283203,103.6285629272461,73.55299377441406,30.07556915283203,0.0,0.0,0.9867692434659221,0.9846918657400213
"32_0.5_1.0_[2048, 2048, 2048]",79.30539706381937,96.75242614746094,72.9339599609375,23.818464279174805,0.0,0.0,80.96443067922613,74.1608547036295,25.433929443359375,99.59478759765625,74.16085815429688,25.433929443359375,0.0,0.0,0.9896813457765621,0.9876414903465864
"32_0.5_1.0_[4096, 4096]",79.94072257472514,100.94951629638672,72.93779754638672,28.01171875,0.0,0.0,80.80146954738177,72.67468617886098,32.50714111328125,105.18181610107422,72.67467498779297,32.50714111328125,0.0,0.0,0.9865632548526402,0.9840170485450048
"32_1.0_0.1_[1024, 1024]",71.44142037520321,125.900146484375,68.18024444580078,57.719905853271484,0.0,0.0,71.8822311871777,68.59954893617777,58.10057067871094,126.70013427734375,68.59956359863281,58.10057067871094,0.0,0.0,0.992059999379512,0.9909153430374654
"32_1.0_0.1_[1024, 1024, 1024]",71.60240323951822,124.47648620605469,69.00931549072266,55.467166900634766,0.0,0.0,72.67090940437159,70.00238281969646,57.080780029296875,127.08316040039062,70.00238037109375,57.080780029296875,0.0,0.0,0.9912635165680452,0.9896779646855223
"32_1.0_0.1_[2048, 2048]",70.57026781223027,140.94692993164062,67.92314910888672,73.02377319335938,0.0,0.0,71.0155717138411,68.34919060957506,73.55533599853516,141.90452575683594,68.34918975830078,73.55533599853516,0.0,0.0,0.991558397043787,0.9897558123316796
"32_1.0_0.1_[2048, 2048, 2048]",70.72130447310438,134.5440673828125,68.14848327636719,66.39557647705078,0.0,0.0,70.74569043150893,68.21392111107187,65.33598327636719,133.54991149902344,68.21392822265625,65.33598327636719,0.0,0.0,0.9923790222492951,0.991467259356537
"32_1.0_0.1_[4096, 4096]",69.56609623974126,131.064208984375,66.6345443725586,64.42967224121094,0.0,0.0,69.55304184357577,66.32948481851304,70.847412109375,137.17689514160156,66.32948303222656,70.847412109375,0.0,0.0,0.9940651839730568,0.9923070088128944
"32_1.0_1.0_[1024, 1024]",80.73757571995554,98.84508514404297,73.78279113769531,25.062294006347656,0.0,0.0,82.97184154951074,75.58464538354391,26.620529174804688,102.20518493652344,75.58465576171875,26.620529174804688,0.0,0.0,0.9857516154280244,0.983165391189615
"32_1.0_1.0_[1024, 1024, 1024]",81.04977892247271,93.76463317871094,75.46987915039062,18.294757843017578,0.0,0.0,83.0960969141373,77.13660723936349,19.539308547973633,96.67591857910156,77.13661193847656,19.539308547973633,0.0,0.0,0.9860060278186495,0.983398039192517
"32_1.0_1.0_[2048, 2048]",79.77748512744675,101.72195434570312,72.46266174316406,29.259296417236328,0.0,0.0,81.43882919380124,73.64461350912829,31.176864624023438,104.82147979736328,73.64461517333984,31.176864624023438,0.0,0.0,0.9872441956101742,0.9853109741530293
"32_1.0_1.0_[2048, 2048, 2048]",79.80807028823993,98.29695892333984,73.31198120117188,24.9849796295166,0.0,0.0,80.78364815993321,73.98705176813182,26.140756607055664,100.1278076171875,73.98705291748047,26.140756607055664,0.0,0.0,0.9872449417441356,0.985583952029157
"32_1.0_1.0_[4096, 4096]",79.71409106024721,99.02124786376953,72.11231231689453,26.908935546875,0.0,0.0,81.08049233440809,72.51812367247057,30.30927085876465,102.82740020751953,72.51812744140625,30.30927085876465,0.0,0.0,0.9896484988890074,0.9870427695833183
"32_2.0_0.1_[1024, 1024]",71.7326764785741,117.46465301513672,67.76948547363281,49.695167541503906,0.0,0.0,71.96437005384671,67.94226976743481,50.43385696411133,118.37612915039062,67.94227600097656,50.43385696411133,0.0,0.0,0.9938747352453692,0.9927604695795766
"32_2.0_0.1_[1024, 1024, 1024]",71.4297574235101,112.44598388671875,67.79031372070312,44.65567398071289,0.0,0.0,72.57552163690393,68.77111411420441,46.679847717285156,115.45097351074219,68.77112579345703,46.679847717285156,0.0,0.0,0.9937889832609647,0.9918528940098882
"32_2.0_0.1_[2048, 2048]",71.23038386204847,121.87696838378906,67.37432861328125,54.50264358520508,0.0,0.0,70.5198274491428,66.51881762474909,56.55137634277344,123.07019805908203,66.5188217163086,56.55137634277344,0.0,0.0,0.9925068462544435,0.9915300146279236
"32_2.0_0.1_[2048, 2048, 2048]",70.48211941146926,121.2464599609375,67.37080383300781,53.87565231323242,0.0,0.0,70.53831857438387,67.31497441980295,55.81547546386719,123.13045501708984,67.31497955322266,55.81547546386719,0.0,0.0,0.9945297451540426,0.9929700071223418
"32_2.0_0.1_[4096, 4096]",69.80598609096316,134.96505737304688,67.21453094482422,67.75051879882812,0.0,0.0,69.89529439722236,67.08786907322909,73.3967514038086,140.484619140625,67.0878677368164,73.3967514038086,0.0,0.0,0.9917343780966597,0.9900840148116601
"32_2.0_1.0_[1024, 1024]",81.32684482359431,98.62033081054688,74.17723846435547,24.44309425354004,0.0,0.0,82.89247411502542,75.40384470458118,25.602153778076172,101.00601196289062,75.40385437011719,25.602153778076172,0.0,0.0,0.9853997190198083,0.9844987526022312
"32_2.0_1.0_[1024, 1024, 1024]",81.43848910191278,96.8037109375,75.75546264648438,21.04824447631836,0.0,0.0,82.9770883930749,77.18352857681515,21.45762825012207,98.64117431640625,77.18354797363281,21.45762825012207,0.0,0.0,0.9859755657511918,0.9832883673813757
"32_2.0_1.0_[2048, 2048]",80.60723933647041,102.10833740234375,72.65477752685547,29.453556060791016,0.0,0.0,81.84407550320431,73.85335657756632,29.595252990722656,103.44861602783203,73.85336303710938,29.595252990722656,0.0,0.0,0.984445831212639,0.9820949327607403
"32_2.0_1.0_[2048, 2048, 2048]",78.30850024122893,98.17901611328125,72.03360748291016,26.14540672302246,0.0,0.0,80.74244663162189,74.15966978542775,27.428237915039062,101.58790588378906,74.15966796875,27.428237915039062,0.0,0.0,0.9884924234766468,0.986393080392487
"32_2.0_1.0_[4096, 4096]",80.51492888470807,100.77508544921875,72.73334503173828,28.0417423248291,0.0,0.0,81.51296032796947,73.04237371479076,30.524639129638672,103.5670166015625,73.04237365722656,30.524639129638672,0.0,0.0,0.985244131362373,0.9829027162906712
"64_0.5_0.1_[1024, 1024]",67.91335418040799,144.0281982421875,62.11822509765625,81.90996551513672,0.0,0.0,68.40094523875082,62.33608636802028,85.72238159179688,148.0584716796875,62.33608627319336,85.72238159179688,0.0,0.0,0.9907111806867674,0.9892581668027033
"64_0.5_0.1_[1024, 1024, 1024]",70.24893515429913,135.31771850585938,64.59078979492188,70.72693634033203,0.0,0.0,70.76348564837215,64.92117867507591,73.02882385253906,137.95001220703125,64.92118072509766,73.02882385253906,0.0,0.0,0.9884259494118307,0.9877443931903243
"64_0.5_0.1_[2048, 2048]",66.56945735351482,158.60806274414062,61.315670013427734,97.29239654541016,0.0,0.0,65.83373719560575,60.376639560312896,101.05734252929688,161.43399047851562,60.376644134521484,101.05734252929688,0.0,0.0,0.9867233597633839,0.9851175937840797
"64_0.5_0.1_[2048, 2048, 2048]",67.08943099839539,144.03077697753906,61.25364303588867,82.77713012695312,0.0,0.0,66.82769692934203,60.77767039546295,85.81599426269531,146.59365844726562,60.77766799926758,85.81599426269531,0.0,0.0,0.9930317801176743,0.9916709869353836
"64_0.5_0.1_[4096, 4096]",67.53221777271538,159.56576538085938,62.27872085571289,97.28704071044922,0.0,0.0,64.34924249616606,58.696881602663176,104.6733627319336,163.3702392578125,58.69688415527344,104.6733627319336,0.0,0.0,0.9901559261391544,0.9886546992597719
"64_0.5_1.0_[1024, 1024]",80.51429704649995,112.29421997070312,72.06646728515625,40.22775650024414,0.0,0.0,83.25974582579217,74.14163977056208,43.419551849365234,117.56118774414062,74.14163208007812,43.419551849365234,0.0,0.0,0.9751661652229944,0.9707128934590197
"64_0.5_1.0_[1024, 1024, 1024]",81.15002418922424,91.33232116699219,76.02059173583984,15.31173038482666,0.0,0.0,84.01027247838996,78.26689324979586,17.14441680908203,95.41131591796875,78.26689910888672,17.14441680908203,0.0,0.0,0.9801787250696652,0.9779528924423381
"64_0.5_1.0_[2048, 2048]",78.51056796844104,113.29277801513672,69.12488555908203,44.16789245605469,0.0,0.0,81.22821995431602,70.89494744895194,48.62716293334961,119.52210998535156,70.89495086669922,48.62716293334961,0.0,0.0,0.9755742000119163,0.9689329884880162
"64_0.5_1.0_[2048, 2048, 2048]",78.54693055309119,108.53495788574219,70.575439453125,37.95951461791992,0.0,0.0,81.02860275560998,72.5431736104156,40.40681457519531,112.94998931884766,72.54317474365234,40.40681457519531,0.0,0.0,0.9829989813350957,0.9807386187208577
"64_0.5_1.0_[4096, 4096]",77.94994856247612,122.97166442871094,68.06713104248047,54.90453338623047,0.0,0.0,79.7107886040776,69.34941009625963,57.56319808959961,126.91261291503906,69.34941864013672,57.56319808959961,0.0,0.0,0.9787720170963714,0.9749212112986755
"64_1.0_0.1_[1024, 1024]",67.58614786568275,144.0184326171875,61.9434928894043,82.07494354248047,0.0,0.0,68.26257318395317,62.29415490209351,86.8133544921875,149.10751342773438,62.294166564941406,86.8133544921875,0.0,0.0,0.9896721902139289,0.9880005542824745
"64_1.0_0.1_[1024, 1024, 1024]",69.06730956790945,135.02688598632812,63.85388946533203,71.1729965209961,0.0,0.0,70.83729531605562,65.26007801344711,76.13948059082031,141.3995819091797,65.26010131835938,76.13948059082031,0.0,0.0,0.9919377442763528,0.9908984169937985
"64_1.0_0.1_[2048, 2048]",66.61090419692651,160.17697143554688,61.34827423095703,98.82870483398438,0.0,0.0,65.77275717209702,60.33975628308279,102.0281753540039,162.36793518066406,60.33975601196289,102.0281753540039,0.0,0.0,0.9871981121514983,0.9862782308939466
"64_1.0_0.1_[2048, 2048, 2048]",65.88633876122654,151.07106018066406,61.14261245727539,89.9284439086914,0.0,0.0,67.19599291181763,62.1400967385117,95.84635925292969,157.9864501953125,62.14008712768555,95.84635925292969,0.0,0.0,0.991576138309424,0.989796134715097
"64_1.0_0.1_[4096, 4096]",66.06844882506121,165.14093017578125,61.42726135253906,103.71367645263672,0.0,0.0,63.84792829695156,58.77837842166704,113.28601837158203,172.06439208984375,58.77836990356445,113.28601837158203,0.0,0.0,0.9876189675456212,0.9860634740996803
"64_1.0_1.0_[1024, 1024]",81.09750089180575,109.93862915039062,71.98977661132812,37.9488525390625,0.0,0.0,83.70280785240661,74.35770939245059,38.93791580200195,113.29562377929688,74.35770416259766,38.93791580200195,0.0,0.0,0.9753601711968317,0.9731392015389374
"64_1.0_1.0_[1024, 1024, 1024]",82.08277552126674,90.66383361816406,76.71089172363281,13.9529447555542,0.0,0.0,83.98618425859806,78.18580109951142,15.065933227539062,93.25172424316406,78.185791015625,15.065933227539062,0.0,0.0,0.987538800635127,0.9842084980909116
"64_1.0_1.0_[2048, 2048]",79.41340405633606,116.57933044433594,69.53385925292969,47.045467376708984,0.0,0.0,81.06720185861967,70.76900443471389,49.03903579711914,119.80804443359375,70.76901245117188,49.03903579711914,0.0,0.0,0.9754141130465134,0.9725856739498007
"64_1.0_1.0_[2048, 2048, 2048]",80.50014019065463,99.57073974609375,73.35684967041016,26.213891983032227,0.0,0.0,82.48573318974915,74.64001869191127,28.791614532470703,103.43162536621094,74.6400146484375,28.791614532470703,0.0,0.0,0.9863242579598424,0.9825608500627162
